Test Name,WLP8SUB,WLP8SUB640,FULLQ,FULL1,FULL2,FULL3,FULL4,FULL5
111,499.54878867065185,1197.0272822485379,3300.967150918914,1935.3529892994843,2075.591758389867,1653.4957672612836,1776.7844054066973,1976.8937496341143
112,499.34885531203383,1196.9393218011994,3300.967150918914,1935.3529892994843,2075.591758389867,1653.4957672612836,1776.7844054066973,1976.8937496341143
121,507.01059461558305,1209.1470490339868,3308.957693214252,1944.8082014813788,2085.4817127574743,1655.5380053286303,1785.843022421408,1982.535283912257
211,499.54878867065185,1197.0272822485379,3300.9549798178896,1935.3513800867265,2075.7929843028523,1653.6790363563289,1776.9412098487683,1977.032997612014
221,507.01059461558305,1209.1470490339868,3308.809760056053,1944.7540147491475,2085.635990640347,1655.6627778203404,1785.948116494816,1982.582189776197
212,499.34885531203383,1196.9393218011994,3300.9549798178896,1935.3513800867265,2075.7929843028523,1653.6790363563289,1776.9412098487683,1977.032997612014
122,506.73014237978845,1209.0209627395295,3308.957693214252,1944.8082014813788,2085.4817127574743,1655.5380053286303,1785.843022421408,1982.535283912257
222,506.73014237978845,1209.0209627395295,3308.809760056053,1944.7540147491475,2085.635990640347,1655.6627778203404,1785.948116494816,1982.582189776197
